"Table E-13--U.S. watermelon:  Supply, utilization, and price, farm weight, 1970 to date ",,,,,,,,,,,,,,,,,,,,,,
,,,,Supply,,,,,,Utilization,,,,,      Season-average price,,,,,        Trade shares of: ,,
1992,,"3,778.3 ",,211.4 ,,"3,989.7 ",,212.1 ,,"3,777.6 ",,14.7 ,,,5.91 ,,8.37 ,,,5.6 ,,5.3
1993 ,,"3,691.7 ",,216.2 ,,"3,907.9 ",,215.4 ,,"3,692.5 ",,14.2 ,,,6.90 ,,9.54 ,,,5.9 ,,5.5
1994 ,,"3,923.2 ",,271.2 ,,"4,194.4 ",,242.4 ,,"3,952.0 ",,15.0 ,,,6.80 ,,9.21 ,,,6.9 ,,5.8
1995 ,,"3,942.6 ",,336.4 ,,"4,279.0 ",,239.2 ,,"4,039.8 ",,15.2 ,,,8.90 ,,11.80 ,,,8.3 ,,5.6
1996 ,,"4,272.4 ",,455.3 ,,"4,727.7 ",,255.3 ,,"4,472.4 ",,16.6 ,,,6.30 ,,8.20 ,,,10.2 ,,5.4
1997 ,,"3,992.3 ",,504.2 ,,"4,496.5 ",,268.9 ,,"4,227.6 ",,15.5 ,,,7.64 ,,9.78 ,,,11.9 ,,6.0
1998,,"3,720.5 ",,484.2 ,,"4,204.7 ",,244.8 ,,"3,959.9 ",,14.3 ,,,7.86 ,,9.96 ,,,12.2 ,,5.8
1999,,"4,058.8 ",,481.6 ,,"4,540.4 ",,292.2 ,,"4,248.2 ",,15.2 ,,,6.55 ,,8.18 ,,,11.3 ,,6.4
2000,,"3,749.4 ",,446.0 ,,"4,195.4 ",,293.3 ,,"3,902.1 ",,13.8 ,,,6.40 ,,7.82 ,,,11.4 ,,7.0
2001,,"4,047.8 ",,483.5 ,,"4,531.3 ",,249.4 ,,"4,281.9 ",,15.0 ,,,6.75 ,,8.06 ,,,11.3 ,,5.5
2002 ,,"3,958.5 ",,451.3 ,,"4,409.8 ",,364.5 ,,"4,045.4 ",,14.0 ,,,8.30 ,,9.76 ,,,11.2 ,,8.3
2003 ,,"3,832.7 ",,489.2 ,,"4,321.9 ",,383.7 ,,"3,938.3 ",,13.5 ,,,8.97 ,,10.34 ,,,12.4 ,,8.9
2004,,"3,688.0 ",,546.9 ,,"4,234.9 ",,424.0 ,,"3,810.9 ",,13.0 ,,,8.49 ,,9.53 ,,,14.4 ,,10.0
2005 ,,"3,702.3 ",,659.8 ,,"4,362.1 ",,349.9 ,,"4,012.2 ",,13.5 ,,,11.60 ,,12.61 ,,,16.4 ,,8.0
2006 ,,"3,986.5 ",,830.5 ,,"4,817.0 ",,297.4 ,,"4,519.6 ",,15.1 ,,,10.40 ,,10.97 ,,,18.4 ,,6.2
2007,,"3,734.9 ",,902.7 ,,"4,637.6 ",,286.0 ,,"4,351.6 ",,14.4 ,,,11.30 ,,11.61 ,,,20.7 ,,6.2
2008 ,,"3,994.0 ",,"1,057.1 ",,"5,051.1 ",,307.1 ,,"4,744.0 ",,15.6 ,,,12.50 ,,12.60 ,,,22.3 ,,6.1
2009,,"3,893.1 ",,"1,002.6 ",,"4,895.7 ",,307.9 ,,"4,587.8 ",,14.9 ,,,11.60 ,,11.60 ,,,21.9 ,,6.3
2010 ,,"4,170.1 ",,989.9 ,,"5,160.0 ",,296.1 ,,"4,863.9 ",,15.7 ,,,12.00 ,,11.86 ,,,20.4 ,,5.7
2011 ,,"3,612.7 ",,"1,044.3 ",,"4,657.0 ",,343.2 ,,"4,313.8 ",,13.8 ,,,13.90 ,,13.47 ,,,24.2 ,,7.4
2012,,"3,615.3 ",,"1,092.6 ",,"4,707.9 ",,344.1 ,,"4,363.7 ",,13.9 ,,,13.20 ,,12.55 ,,,25.0 ,,7.3
2013 ,,"3,610.2 ",,"1,302.9 ",,"4,913.1 ",,332.9 ,,"4,580.2 ",,14.5 ,,,14.20 ,,13.28 ,,,28.4 ,,6.8
2014,,"3,326.3 ",,"1,442.6 ",,"4,768.9 ",,338.0 ,,"4,430.9 ",,13.9 ,,,13.50 ,,12.42 ,,,32.6 ,,7.1
2015,,"3,547.5 ",,"1,555.3 ",,"5,102.8 ",,332.2 ,,"4,770.7 ",,14.9 ,,,13.80 ,,12.57 ,,,32.6 ,,6.5
2016,,"3,987.8 ",,"1,709.6 ",,"5,697.4 ",,350.0 ,,"5,347.4 ",,16.5 ,,,13.70 ,,12.29 ,,,32.0 ,,6.1
2017,,"4,003.3 ",,"1,595.3 ",,"5,598.7 ",,340.1 ,,"5,258.5 ",,16.2 ,,,14.70 ,,12.99 ,,,30.3 ,,6.1
2018,,"3,868.0 ",,"1,594.7 ",,"5,462.7 ",,326.1 ,,"5,136.7 ",,15.7 ,,,16.90 ,,14.71 ,,,31.0 ,,6.0
