State,Oranges ,Grapefruit,Lemons,Tangerines & mandarins 1,Total citrus fruit,Apples,Apricots,Avocados,Bananas,Blackberries,Blueberries,Boysenberries,Raspberries,Sweet cherries,Tart cherries,Cranberries,Dates,Figs,Grapes,Kiwifruit,Nectarines,Olives,Papayas,Peaches,Pears,Prunes & Plums,Strawberries,Total noncitrus fruit,(in-shell) Almonds,Hazelnuts,Macadamia,Pecans,Pistachios,Walnuts,Total tree nuts,Total fruit & tree nuts,Share of U.S.  fruit & tree nuts
 Maryland , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Massachusetts , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , 112.2 , - , - , - , - , - , - , - , - , - , - , - , 112.2 , - , - , - , - , - , - , - , 112.2 , 0.4 
 Michigan , - , - , - , - , - , 524.5 , - , - , - , - , 35.0 , - , - ,, 99.1 , - , - , - ,, - , - , - , - , 11.9 , - , - , - , 670.6 , - , - , - , - , - , - , - , 670.6 , 2.5 
 Minnesota , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Mississippi , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , -  
 Missouri , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - ,, - , - , - , - , - , - , - ,, - , - , - , - , -  
 Montana , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 New Hampshire , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 New Jersey , - , - , - , - , - ,, - , - , - , - , 22.0 , - , - , - , - , 25.4 , - , - , - , - , - , - , - , 23.0 , - , - , - , 70.4 , - , - , - , - , - , - , - , 70.4 , 0.3 
 New Mexico , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 45.6 , - , - , 45.6 , 45.6 , 0.2 
 New York , - , - , - , - , - , 688.4 , - , - , - , - ,, - , - ,, D , - , - , - ,, - , - , - , - ,, - , - , 1.5 , 689.9 , - , - , - , - , - , - , - , 689.9 , 2.6 
 North Carolina , - , - , - , - , - ,, - , - , - , - , 16.7 , - , - , - , - , - , - , - ,, - , - , - , - ,, - , - , 6.3 , 23.0 , - , - , - , - , - , - , - , 23.0 , 0.1 
 Ohio , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Oklahoma , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4.5 , - , - , 4.5 , 4.5 , 0.0 
 Oregon , - , - , - , - , - , 84.5 , - , - , - ,, 67.4 ,,, 54.1 , - , 28.8 , - , - ,, - , - , - , - , - , 245.3 , - , 5.5 , 485.5 , - , 51.0 , - , - , - , - , 51.0 , 536.5 , 2.0 
 Pennsylvania , - , - , - , - , - , 242.1 , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , 17.0 , - , - , - , 259.0 , - , - , - , - , - , - , - , 259.0 , 1.0 
 Rhode Island , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 South Carolina , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 59.2 , - , - , - , 59.2 , - , - , - , - , - , - , - , 59.2 , 0.2 
 Tennessee , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Texas , 79.9 , 192.0 , - , - , 272 , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - ,, - , - , - , - , - , - , - , 16.8 , - , - , 16.8 , 288.7 , 1.1 
 Utah , - , - , - , - , - , - ,, - , - , - , - , - , - ,, 20.5 , - , - , - , - , - , - , - , - ,, - , - , - , 20.5 , - , - , - , - , - , - , - , 20.5 , 0.1 
 Vermont , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , -  
 Virginia , - , - , - , - , - , 101.0 , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - ,, - , - , - , 101.0 , - , - , - , - , - , - , - , 101.0 , 0.4 
 Washington , - , - , - , - , - ," 3,182.5 ", 7.8 , - , - , - , 68.1 , - , 37.5 , 243.8 , D ,, - , - , 466.0 , - ,, - , - , 13.1 , 394.0 , - , 4.3 ," 4,417.0 ", - , - , - , - , - , - , - ," 4,417.0 ", 16.4 
 West Virginia , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , -  
 Wisconsin , - , - , - , - , - ,, - , - , - , - , - , - , - , - , 5.0 , 275.9 , - , - , - , - , - , - , - , - , - , - , - , 280.9 , - , - , - , - , - , - , - , 280.9 , 1.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 United States ," 3,875.0 ", 509.0 , 888.0 , 804.0 ," 6,076 "," 4,945.4 ", 39.4 , 183.5 ,,, 303.0 ,, 108.7 , 342.1 , 144.4 , 442.3 , 40.0 ,," 7,596.0 ", 37.8 , 119.7 , 52.9 , 10.3 , 638.0 , 800.3 , 378.6 ," 1,427.5 "," 17,617.9 "," 1,839.9 ", 51.0 , 17.7 , 121.5 , 493.5 , 676.0 ," 3,199.6 "," 26,893.4 ", 99.9 
